Station Number,DWR Regional Office*,Name,County,Latitude,Longitude,ELEV,Status,Connect,Disconnect
1,SCRO,Fresno/F.S.U. USDA,Fresno,36.814000,-119.732000,340,Inactive,6/7/1982,9/25/1988
2,SCRO,Five Points  ,Fresno,36.336222,-120.112906,285,Active,6/7/1982,Active
3,SCRO,Beach /Santa Cruz CO,Santa Cruz,36.881000,-121.793000,10,Inactive,5/30/1982,8/25/1986
4,SCRO,Webb /Santa Cruz CO,Santa Cruz,36.972000,-121.726000,230,Inactive,5/30/1982,4/29/1988
5,SCRO,Shafter/USDA,Kern,35.532695,-119.281862,360,Active,6/1/1982,Active
6,NCRO,Davis,Yolo,38.535794,-121.776385,60,Active,7/17/1982,Active
7,SCRO,Firebaugh/Telles,Fresno,36.851248,-120.590980,185,Active,9/22/1982,Active
8,NRO,Gerber,Tehama,40.044065,-122.165408,250,Inactive,9/22/1982,8/14/2014
9,SCRO,Lamont,Kern,35.238000,-118.894000,406,Inactive,9/29/1982,4/10/1989
10,SCRO,Bakersfield/Greenlee,Kern,35.077222,-119.082211,400,Inactive,10/1/1982,4/16/1986
11,SCRO,Bakersfield/Bonanza,Kern,35.160000,-119.181000,290,Inactive,9/29/1982,4/17/1986
12,NRO,Durham,Butte,39.608639,-121.824431,130,Active,10/19/1982,Active
13,NCRO,Camino,El Dorado,38.752307,-120.733870,2780,Active,10/19/1982,Active
14,NRO,Orland,Glenn,39.739000,-122.171000,235,Inactive,10/30/1982,4/21/1987
15,SCRO,Stratford,Kings,36.158138,-119.851408,193,Active,10/29/1982,Active
16,SCRO,San Juan,Monterey,36.905000,-121.703000,44,Inactive,10/23/1982,8/24/1995
17,SRO,El Centro,Imperial,32.846000,-115.448000,-86,Inactive,11/8/1982,5/27/1987
18,SRO,Westmorland,Imperial,33.077000,-115.614000,-195,Inactive,11/11/1982,4/9/1986
19,SCRO,Castroville,Monterey,36.768256,-121.773772,9,Inactive,11/18/1982,11/20/2019
20,SCRO,Corcoran,Kings,36.040000,-119.573000,190,Inactive,11/22/1982,4/9/1986
21,SCRO,Kettleman,Kings,35.867750,-119.894900,340,Inactive,11/19/1982,9/1/2017
22,SCRO,Caruthers,Kings,36.490000,-119.779000,238,Inactive,11/18/1982,6/6/1988
23,SCRO,King City,Monterey,36.174000,-121.117000,300,Inactive,11/19/1982,12/23/1985
24,SRO,Thermal,Riverside,33.631000,-116.112000,-120,Inactive,11/22/1982,3/3/1986
25,SRO,Rancho Mirage,Riverside,33.764000,-116.424000,240,Inactive,11/22/1982,11/20/1985
26,SCRO,Lost Hills,Kern,35.505000,-119.690000,410,Inactive,11/29/1982,8/13/1986
27,NCRO,Zamora,Yolo,38.808000,-121.908000,50,Inactive,12/5/1982,1/20/2006
28,SCRO,Soledad,Monterey,36.447000,-121.364000,170,Inactive,1/4/1983,2/11/1987
29,SCRO,Cantua Creek,Fresno,36.516000,-120.314000,275,Inactive,1/2/1983,7/23/1985
30,NCRO,Nicolaus,Sutter,38.870600,-121.546075,32,Inactive,1/3/1983,12/29/2011
31,SCRO,McFarland/Kern Farms,Kern,35.703000,-119.152000,480,Inactive,1/11/1983,3/8/1993
32,NRO,Colusa,Colusa,39.226861,-122.024800,55,Inactive,1/13/1983,8/12/2016
33,SCRO,Visalia,Tulare,36.301000,-119.223000,350,Inactive,1/5/1983,3/1/2007
34,SRO,Rancho California,Riverside,33.489000,-117.199000,1820,Inactive,1/21/1983,11/25/1986
35,SRO,Bishop,Inyo,37.358606,-118.405471,4170,Active,2/4/1983,Active
36,SRO,Blythe,Riverside,33.655000,-114.558000,270,Inactive,3/13/1983,8/12/1988
37,SCRO,USDA Salinas,Monterey,36.620000,-121.545000,120,Inactive,4/11/1983,7/27/1992
38,SRO,Santa Maria,Santa Barbara,34.954000,-120.384000,270,Inactive,5/3/1983,4/27/1999
39,SCRO,Parlier,Fresno,36.597481,-119.504120,337,Active,5/23/1983,Active
40,SCRO,Mendota/MuriettaUSDA,Fresno,36.683000,-120.387000,187,Inactive,6/14/1983,4/15/1992
41,SRO,Calipatria,Imperial,33.043151,-115.415835,-110,Active,7/17/1983,Active
42,NCRO,Lodi ,San Joaquin,38.109000,-121.346000,23,Inactive,10/16/1983,1/18/2001
43,NRO,McArthur,Shasta,41.063767,-121.456019,3310,Active,10/31/1983,Active
44,SRO,Riverside,Riverside,33.964942,-117.336983,1020,Active,6/2/1985,Active
